Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
Iglesia parroquial de San Millán y San Cayetano.,"This church was built by the architect Marcos López in 1669 and finished by Francisco de Moradillo in 1761; it is also believed that José de Churriguera and Pedro de Ribera took part in the project. Located in the Latina district, it is laid out in the shape of a Greek cross and is crowned with a large dome on a drum over Byzantine-style pendentives. The inside has three naves and four closed chapels with their corresponding domes. The fa&shy;çade was built in granite and has been attributed to Churriguera. It is made up of eight large pillars topped off with capitals of the compound type. The two pillars at each end frame the two towers and, between the four central ones, there are three semi-circular entrance arches. Above the arches, in niches, are the statues of San Cayetano, Nuestra Señora del Favor and San Andrés Avelino, made in limestone by Pedro Alonso de los Ríos.The temple was set on fire in 1936 during the Civil War and it would have been completely destroyed if it weren&rsquo;t for the falsework carried out by Fernando Chueca Goitia. It was rebuilt after the war; its façade was completely saved and its large central dome was rebuilt.","Calle Embajadores 15., 28012 Madrid, España",10,14,0,0,0
Monasterio De Montserrat,"It has been many years since the church of Our Lady of Montserrat stopped the tradition of ringing its bells at midnight for the soul of king Philip V. The bells were rung at this time as it was the time that the Benedictine monks heard of the death of their monarch and the founder of the abbey as it then was. The church, in the centre of the Conde Duque district, was on course to be one of the largest and most majestic churches of its time. But it was never completed. You only have to look up to see that. Even the most unobservant will notice that there is only one tower. The other was never built.The church of Montserrat was founded by Spanish Benedictine monks who had been expelled from the monastery of Montserrat in Barcelona in 1640. Work on the church stopped in 1720 and was never completed. The church was designed by Sebastián Herrera Barnuevo, although after his death other architects took over the project. Among those was Pedro de Ribera, who built the tower and the façade. Another of his façades is the one near the Conde Duque Cultural Centre, one of the neighbourhood&#39;s artistic landmarks. After the Mendizábal disentailment of 1836, the church became a women&#39;s prison and later a dance hall. The Benedictines reoccupied it in 1914. One last word: on Sundays at twelve the monks sing Gregorian chants.","Calle de San Bernardo 79, 28015 Madrid, España",2,2,0,0,0
Palacio De Cristal,"The Glass Palace in the Retiro Park is one of the finest examples of iron architecture in Madrid. The metal and glass structure was built in 1887 for the Philippines Exhibition of that year. Designed by Ricardo Velázquez Bosco, the project was inspired by Paxton&rsquo;s Crystal Palace. It was originally planned as a gigantic greenhouse to contain tropical plants but today it is used for exhibitions.","Paseo República de Cuba, 4 | Parque Del Retiro, 28009 Madrid, España",891,670,239,34,14
Iglesia de Santa Cruz,"Construction of the current church began in 1889 under the leadership of Francisco de Cubas, the Marquis of Cubas, with construction being halted by lack of funds. Work resumed in 1899 with the help of public subscription and was completed in 1902.The present church is of Gothic style in brick and white stone from Colmenar. The main façade has a pointed arch, topped by a triangular pediment which is topped by a cross. The central area of the cover shows embossing by Aniceto Marinas, Apoteosis de la Cruz Above this porch is a large rose window and over it a great clock.The plan consists of a nave with eight side chapels. Inside, it highlights the painting of the Virgen de la Cinta, patron saint of the city of Huelva. This temple is canonically a brotherhood based subsidiary of Huelva is located in the nearby Lavapies district. In December of 1985 a carillon of 8 bells was inaugurated, donated by the &ldquo;Friends of Madrid&rdquo; foundation, that ring the parish anthem &ldquo;Victoria, Tú Reinarás&rdquo; every day at 9 am and pm.The main altar holds a piece of the wood from the Christ&rsquo;s cross (Lignum Crucis), donated in 1962 by the Sisters of the Cerro de los Ángeles to substitute the one that had gone missing in 1936.&nbsp;","Calle Atocha 6, 28012 Madrid, España",13,15,7,2,0
Edificio Grassy,"The Grassy Clock Museum, located in Sol / Gran Vía, is inaugurated in 1953 to house the collection assembled by Alejandro Grassy, founder of the house and passionate about clocks. Some of the pieces come from from the collection of Francisco Perez de Olaguer-Feliu, mostly French, English and German. The rest are various examples of diverse origins. In this museum you can follow the history of mechanical clock making since the first pieces of iron mechanisms in the sixteenth century to the nineteenth century Empire style. These are all objects produced by both art and technology, and they are &quot;live clocks&quot; fully functional or operational.","Calle Gran Via 1, 28013 Madrid, España",9,20,6,0,0
Comunidad Israelita en Madrid,"This museum opened in 2007 to coincide with the ninetieth anniversary of the most important synagogue in Madrid, erected on calle del Príncipe in 1917. It shows, through documents, photographs, letters, books and objects, the history of how this unique community has been living over the years. The museum occupies a small ground floor of the building, designed as a religious center and studio, which has a library rich from Kabbalistic funds The design of the small museum is by Fabio Schneyder.","Calle Balmes 3, 28010 Madrid, España",2,0,0,0,0
Palacio de Congresos de Madrid,"The Municipal Congress Centre is a highly versatile venue with a cutting-edge design located in Madrid&rsquo;s business development centre: El Campo de las Naciones. It has all the technology and services required to run all kinds of events, especially congresses, meetings, and product launches. Just 5 minutes from Madrid-Barajas airport, it offers excellent transport links in terms of metro, bus, and private transport. It is spread over an area of more than 30,000 m2, divided into large exhibition areas, Auditorium A that can seat up 1,812, a Multipurpose room with a gross floor area of 2,414 m2 and twenty-eight rooms with different capacities. There is also a public carpark with 508 spaces.","Paseo Castellana 99, 28046 Madrid, España",2,0,0,0,1
Basílica de San Miguel,"This basilica is located in the heart of Hapsburg Madrid. In spite of its small size, it is one of the most significant buildings of the Spanish Baroque, because of the unique convex shape of its façade, a feature which is rare in Spain and unique amongst the baroque buildings of Madrid.It looks like a Romanesque church. The structure, which has a Latin cross floor plan, was designed by the Italian architect Santiago Bonavía and completed by Virgilio Rabaglio. Of particular note is its convex façade, crowned with two towers featuring spires with some oriental details, and a pediment which is also convex. Amongst the church&rsquo;s most notable carvings is the image of Cristo de la Fe y del Perdón, an 18th-century work by sculptor Luis Salvador Carmona. This image features each year in the Palm Sunday procession, and is the first of all the images to be paraded during Madrid&rsquo;s Holy Week.","Calle San Justo 4, 28005 Madrid, España",18,29,5,0,1
Museo de la Catedral de la Almudena,"The aim of the Almudena Cathedral Museum is to conserve, exhibit, investigate and communicate testimonies to the history of the diocese of Madrid. The permanent exhibition includes objects of religious and historical-artistic value from the former parish of Santa María de la Almudena, the birthplace of today&#39;s cathedral.A visit to the Almudena Cathedral Museum begins with the different areas of the Cathedral itself: the Chapterhouse and the Vestry, decorated with modern mosaics by the Slovenian priest P. Marko I. Rupnik. s.j. These areas display various objects relating to the origin and history of the Church in Madrid, as well as the two patron saints of the city: Santa María la Real de la Almudena and San Isidro Labrador, including the valuable codex by Juan Diácono, the most ancient document about the life and miracles of San Isidro.The dome of La Almudena CathedralTo get to the dome of the La Almudena Cathedral you have to visit the Cathedral&#39;s Museum. At a height of over 70 metres, the dome offers stunning views over the Royal Palace, the Plaza de Oriente, the viaduct, and the spectacular dome of the basilica of San Francisco el Grande. The Museum&#39;s gallery, although not quite as high as the dome, is still an exceptional vantage point for watching the Changing of the Royal Guard on the first Wednesday of the month on the palace&#39;s concourse, weather permitting.","Plaza de la Almudena S/N | Catedral de la Almudena, 28013 Madrid, España",50,32,16,2,1
Iglesia de San Andrés,"Located in the central La Latina district, it&#39;s one of the oldest churches in Madrid. Legend tells that it was regularly visited by saints Isidro Labrador and María de la Cabeza, parishioners of the church, where the former was buried. The home of its patron Iván de Vargas, was constructed next to it, on which the palace of the Marquises of Paredes was built, which has now been reconstructed and converted into a municipal museum.The church, which is of Arabic origin, was destroyed and reconstructed several times, until it was burnt in 1936 at the start of the Spanish civil war, at which time it lost all of its artworks and only the outside was preserved. The inside was rebuilt (1986-90) by architects J. Vellés, M. Casariego and F. Posada, who employed a detailed research process to enable them to produce a reconstruction resembling the original as closely as possible.","Plaza de San Andres 1, 28005 Madrid, España",8,18,5,1,0
Iglesia parroquial de San Ginés,"The church of San Ginés is in Calle Arenal and is dedicated to the French saint Genès d&#39;Arles. This is one of the oldest churches in Madrid, built in 1645 on the site of what is thought to be a Mozarabic chapel. Built to a design by Juan Ruiz, the church has undergone several restorations and changes to its appearance throughout its history.The tile and brick facade you see today dates back to 1870, but it was originally neo-Plateresque, and after being destroyed during the Spanish Civil War, the decorative features were removed as part of restoration work carried out following the conflict.&nbsp; Its arched entrance porch opens into an interior with three naves and side chapels, including the Santísimo Cristo chapel.&nbsp;San Ginés church has an impressive artistic heritage with the most important being the painting Purification of the Temple by El Greco. You can see the painting every day except Wednesday not coinciding with the mass.","Calle Arenal 13, 28013 Madrid, España",5,13,1,0,1
Fuente de la Concha,"This bustling square located bang in the centre of Madrid is one of the city&rsquo;s most famous sites. With its semi-circular shape, it is a junction for many of the city&rsquo;s historical and busiest streets such as Mayor, Arenal, Alcalá and Preciados, as well as the starting point for all major radial roads in Spain. Originally the site of one of the city&rsquo;s gates, Puerta del Sol should be at the top of your list of places to visit. Sitting atop the Casa de Correos building, the current headquarters of the Madrid regional government, you&rsquo;ll find the famous clock that all eyes turn to on the last day of the year. For over a century now tradition has it that people across the country usher in the New Year by eating 12 lucky grapes to the twelve chimes of midnight struck by this clock.A stone slab on the pavement in front of the main entrance to the Casa de Correos marks Spain&rsquo;s Kilometre 0, the starting point for all major radial roads in Spain. Across the square, at the beginning of Calle Alcalá, Madrid&rsquo;s longest street, you&rsquo;ll find the famous Oso y Madroño. The official symbol of the city, the statue of a bear nuzzling a strawberry tree is a popular meeting spot for Madrileños.On the other side of the square, at the start of Calle Arenal which leads to the Teatro Real opera house, stands a copy of La Mariblanca statue. The original, which dates back to the 17th century and once adorned a fountain in this very spot, is now stored in Casa de la Villa. Puerta del Sol&rsquo;s third and largest statue is found in the centre of the square and depicts King Charles III of Spain on horseback. During his reign, the monarch introduced so many progressive reforms and gave the city such a makeover that he earned the moniker Madrid&rsquo;s best mayor.","The Moorish Garden, Madrid, España",1,3,8,0,0
Camareros Carlos Rollan,"This bustling square located bang in the centre of Madrid is one of the city&rsquo;s most famous sites. With its semi-circular shape, it is a junction for many of the city&rsquo;s historical and busiest streets such as Mayor, Arenal, Alcalá and Preciados, as well as the starting point for all major radial roads in Spain. Originally the site of one of the city&rsquo;s gates, Puerta del Sol should be at the top of your list of places to visit. Sitting atop the Casa de Correos building, the current headquarters of the Madrid regional government, you&rsquo;ll find the famous clock that all eyes turn to on the last day of the year. For over a century now tradition has it that people across the country usher in the New Year by eating 12 lucky grapes to the twelve chimes of midnight struck by this clock.A stone slab on the pavement in front of the main entrance to the Casa de Correos marks Spain&rsquo;s Kilometre 0, the starting point for all major radial roads in Spain. Across the square, at the beginning of Calle Alcalá, Madrid&rsquo;s longest street, you&rsquo;ll find the famous Oso y Madroño. The official symbol of the city, the statue of a bear nuzzling a strawberry tree is a popular meeting spot for Madrileños.On the other side of the square, at the start of Calle Arenal which leads to the Teatro Real opera house, stands a copy of La Mariblanca statue. The original, which dates back to the 17th century and once adorned a fountain in this very spot, is now stored in Casa de la Villa. Puerta del Sol&rsquo;s third and largest statue is found in the centre of the square and depicts King Charles III of Spain on horseback. During his reign, the monarch introduced so many progressive reforms and gave the city such a makeover that he earned the moniker Madrid&rsquo;s best mayor.","Paseo,55, 28000 Madrid, España",0,0,0,0,0
Paseo del Prado,"This gorgeous historical boulevard densely lined with hundred-year-old trees connects Glorieta de Carlos V and Plaza de Cibeles. The wide and central avenue is a landmark for the city residents and the location of important cultural and tourist spots in the city including the so-called Golden Triangle of Art - which encompasses three museums: the Prado Museum, the Thyssen-Bornemisza Museum, and the Reina Sofia Museum - the CaixaForum Madrid, Royal Botanical Garden...Its origin dates back to Prado de los Jerónimos, lands owned by the Hieronymites monastery Monasterio de San Jerónimo el Real in the 16th century. Felipe II started its urban development following the course of the Fuente Castellana stream. In late 18th century, Carlos III transformed the area in Salón del Prado, decorated with some of the fountains that still stand today.&nbsp;&nbsp;The Paseo del Prado boulevard includes several monuments and enclosures that are of historical and artistic interest. Ever since 2015 it has been protected as a Cultural Heritage Monument and is a candidate, together with the Parque del Buen Retiro, for UNESCO World Heritage Cultural Landscape.&nbsp;","Paseo del Prado | Paseo Del Prado, 1, Madrid, España",1460,900,175,24,4
Bunker del Jardin Del Capricho,"Before us is one of the green spaces that make up the natural artistic heritage of Madrid. It is one of the most beautiful and, paradoxically, one of the least known. The Duke and Duchess of Osuna--especially by the Duchess, María Josefa de la Soledad Alonso Pimentel, created it in 1784. As a protector of artists, bullfighters, and intellectuals, the Duchess created an authentic natural paradise frequently visited by the most distinguished personalities of the period, and where the most prestigious artists, gardeners, and set designers worked. After the death of the Duchess, the Park began to lose popularity, a situation that continued until 1974 when the Madrid City Council bought the Park and began its restoration, which finished in 1999. The Park houses important botanical, sculptural, and artistic treasures. Among them are shrines, hermitages, fountains, small plazas, and the palace of dukes, among others. The garden is composed of three sections: the parterre or French garden, the English landscape, and the Italian giardino.The parterre lies in front of the west façade of the palace, with its trimmed hedges embroidering the lawn. The Italian garden is in the lower section, the oldest part of the original property, where the hedges are combined with trees under which people can sit in the sun during winter, or take shelter from it in the summer. Nearby, the labyrinth, created for amorous play as well as hide-and-seek, is made up of laurel trees and is consistent with the original plans used for the seeding and planting during the period in which the Duchess was still alive. And lastly, the remainder of the Park is designed as a typical English landscape garden, evoking nature in its pure state and suggesting leisurely walks and discovery of hidden places.Visit the bunker at El Capricho Park&nbsp;El Capricho keeps a secret: the well-known bunker of the Jaca Position, the only example in Europe of this kind of structures from the Spanish Civil War. The bunker was home to the headquarters of the Republican Army of the Central Region. Covering 2000m2, the shelter is covered by 15m-deep soil and offered protection against bombs of up to 100kg. It was built in the park in 1937 on a site that was far away from the front line, had excellent communication infrastructures and was surrounded by trees and bushes that would provide concealment.The shelter has seven rectangular rooms (four to the right and three to the left), four exits to the park and a gallery reaching the street that runs across the basement of the Duques de Osuna Palace.The Directorate General of Intervention Urban Landscape and the Cultural Heritage Department of Madrid City Council offers free 30-minute guided tours (20 people per group) on Saturdays and Sundays, prior reservation required&nbsp;on the&nbsp;official reservations website.","Paseo de Alameda de Osuna, 28042 Madrid, España",1,1,0,0,0
Templo de Debod,"This is an Egyptian temple dating back to the 2nd century BC, transported to Madrid&rsquo;s Cuartel de la Montaña Park. The temple was donated to Spain by the Egyptian government to save it from floods following the construction of the great Aswan Dam. Works on the temple began at the beginning of the 2nd century BC at the orders of the Meroë King Adijalamani, who built a chapel dedicated to the god Amun and the goddess Isis. This chapel was decorated with high reliefs. Subsequent kings of the Ptolemaic dynasty built new rooms around the original core, thereby enlarging the temple. After Egypt was annexed by the Roman Empire, the emperors Augustus and Tiberius &ndash; and possibly Hadrian, too &ndash; finished off the construction and decoration of the building.In the 6th century AD, following Nubia&rsquo;s conversion to Christianity, the temple was sealed off and abandoned. In the 20th century, owing to the construction of the dam, the Egyptian government gave the temple as a gift to the city of Madrid and it was transported and rebuilt stone by stone in its current location. It was opened to the public in 1972. The reconstruction in Madrid kept the building&rsquo;s original orientation; that is to say, from East to West. To help visitors understand the meaning of this magnificent location, its decorative motifs and its history, scale models and videos can be seen and audiovisual material is projected on the walls.The inside of the monument is currently closed to visitors, although you can still walk along the walkway during the temple opening hours.","Calle Ferraz 1, 28008 Madrid, España",4337,2634,993,127,35
Ermita De San António De La Florida,"With its sober appearance, the San Antonio de la Florida Chapel is a contrast to the grandiose pictorial ensemble that Goya painted at the end of the 18th Century. In creating this masterpiece of Spanish art, the artist from Aragón knew that he was decorating one of the most popular temples of Madrid, famous for its celebration each June 13th. The original chapel, devoted to San Antonio de Padua,&nbsp;was built in front of the Abanico fountain under the orders of Carlos IV.&nbsp;It was created by Francisco de Fontana (1792 - 1798), and it has a Greek cross ground plan, short arms, and a semicircular apse from the top of which originates a central space dominated by a big dome and illuminated by a lantern. The chapel is confined to areas attached to the exterior, forming a rectangle. Standing out from this are the supports, which showcase the main façade, built according to the Baroque canon.As a result of the special concern that has always existed to ensure its conservation, in 1905 it was declared National Monument, and in 1928 an identical temple was built next to it in order to move the services there, and thus preserve the original as a museum dedicated to Goya. In spite of being one of the best neoclassic examples in Madrid, it is the frescos by Goya that makes San Antonio chapel a place to visit in Madrid, as well as being the place where the artist has been laid to rest since 1919.&nbsp;Goya decorated the dome with frescos representing the Saint&rsquo;s trance before the people of Lisbon. The altarpieces were later painted by Jacinto Gómez Pastor.","Glorieta de San Antonio de La Florida 4, 28008 Madrid, España",419,205,48,4,4
Plaza de España,"Due to a major refurbishment of the square which is expected to last till February 2021, both the gardens and the square may be partly closed off to the public.This large Plaza is located in the city centre, at the intersection of Gran Vía and Princesa streets. Here you will find the Cervantes Monument, one of the most popular tourist spots. The Monument was made by Rafael Martínez Zapatero and Lorenzo Cullaut Valera and was inaugurated in 1915. The square has a fountain with a pond, and seasonally landscaped and wooded areas. Flanking the square we find two emblematic buildings of the city: Torre Madrid and Edificio España, which constitute one of the most interesting architectural areas of the capital.Torre&nbsp;Madrid is one of the tallest buildings in Madrid. It is 465 feet high and was built in 1957 by the brothers Julián and José María Otamendi Machimbarrena. They had been hired by the Compañía Inmobiliaria Metropolitana, for whom they had already built the Edificio España.Edificio España is one of Madrid&rsquo;s most representative skyscrapers. The Otamendi brothers built it in 1953 in Neo-Baroque style. It has a staggered silhouette of four heights, and enjoys considerable protection from the City Council itself. Standing at 117 metres tall and with 25 floors, it is the eighth tallest building of the Spanish capital, including the Cuatro Torres Business Area skyscrapers.","Western End of the Gran Vía, 28008 Madrid, España",223,331,152,29,4
Parroquia Jesús de Medinaceli,"Located in Plaza de Jesús stands the Cristo de Medinaceli Church, home to a 17th-century statue of Jesus of Nazareth and a place of great devotion among the residents of Madrid.The church was declared a minor basilica by Pope Paul VI in 1973. The statue of Christ can be visited in the crypt during the church&#39;s opening times.","Calle Jesús nº 2, 28014 Madrid, España",34,22,9,0,2
"Cámara Oficial de Comercio, Industria y Servicios de Madrid","This typical Madrid town house, built in 1730, is especially remarkable for its main façade designed by Pedro Ribera and for housing one of the best eclectic style interiors in Madrid. When the dukes of Santoña acquired the palace in the 19th century they adapted it to the tastes of the era, a decoration that has been conserved to date. On the walls of its rooms are paintings which allude to trade and industry, interlaced with others related to the Fine Arts.","Calle Principe 28, 28012 Madrid, España",5,3,0,0,0
Estatua De Murillo,"Declared an Artistic Garden in 1942, its collections include an outstanding herbarium with more than a million entries, the library and the archive - with nearly 10,000 drawings - as well as the exhibition of 5,000 species of live plants. Guided tours are offered in order to know the multitude of species that inhabit this green corner of the city centre, from onions or roses to the most exotic plants. The route through the garden and its greenhouses combines general botanic content, curiosities, history, the singularity of its examples, uses of the plants and their importance in our lives.The Botanical Garden&rsquo;s current location is not coincidental. Rather, it is the result of the enlightened monarch Carlos III&rsquo;s wish to create a complex dedicated to the natural sciences in Madrid. That is why it is next to what is now the Prado Museum, which was built in the late 18th century to house the Museum of Natural History. Its scientific spirit is still alive, as the garden is currently managed by the Consejo Superior de Investigaciones Científicas (Spain&rsquo;s National Scientific Research Council), which organises all kinds of educational activities such as conferences and exhibitions.","Plaza de Murillo 1, 28014 Madrid, España",1,2,4,0,0
Ateneo de Madrid,"The Artistic, Scientific and Literary Athenaeum of Madrid - in Calle del Prado - is housed in a building constructed in 1884 to become the definitive home of this society, which had been promoted by a group of intellectuals and politicians with liberal leanings in 1820. The architects Enrique Fort and Luis Landecho were reponsible for its construction.. The narrow façade, which bears three medallions with the reliefs of Alfonso X the Wise, Cervantes and Velázquez, does not reflect the spaciousness of the interior of the building. Its extensive facilities include the reading rooms, the lecture hall and the splendid neo-Grecian auditorium, designed by Arturo Mélida.The Athenaeum is an institution with a rich history and played an important part in the cultural life of Spain during the 19th and early 20th centuries, as a forum for discussion and a platform for the free expression of ideas. The hall known as the &quot;cacharrería&quot; (junk room) hosted ongoing heated discussions by writers and artists which lasted from three o&#39;clock in the afternoon until well into the night.Its illustrious members have included Mesonero Romanos, Castelar, Cánovas del Castillo, Unamuno, Valle-Inclán and Manuel Azaña. The collection of portraits of some of these personalities, with works by Rosales and Madrazo, is of considerable interest but even more important is the priceless collection of books in its ever-growing library, which contains over 200,000 volumes and, as a unique feature, remains open to the public until after midnight.","Calle Prado 21, 28014 Madrid, España",11,9,4,0,1
Barrio de Salamanca,"DescriptionThe grand 19th-century boulevards of glamorous Salamanca are lined with fine-dining restaurants and designer boutiques, especially along the ""Golden Mile."" Stylish locals frequent Platea Madrid, an upscale gourmet food market in a former theater building. There are prehistoric Iberian relics and art at the National Archaeological Museum, and the Lázaro Galdiano Museum is home to works by Goya and Bosch.","José Ortega y Gasset, 8 - patio, 28006 Madrid, España",746,414,112,14,6
Plaza de Cibeles,"DescriptionThe Plaza de Cibeles is a square with a neo-classical complex of marble sculptures with fountains that has become an iconic symbol for the city of Madrid. It sits at the intersection of Calle de Alcalá, Paseo de Recoletos and Paseo del Prado. Wikipedia","Calle Alcala | y Paseo de Recoletos, 28014 Madrid, España",1815,1104,344,34,15
Malasaña,"DescriptionMalasaña is a happening, student-friendly area, with streets filled with coffee shops, bakeries and vintage clothing stores. The Plaza del 2 de Mayo, a historic square lined with lively bars and weekend market stalls, is a popular meeting spot. At night, edgy dance and rock clubs host live bands and DJs, and the Conde Duque cultural center shows art and open-air movies in its 18th-century halls and courtyards.","Calle Manuela Malasana 20, 28004 Madrid, España",231,148,48,7,8
Calle de Alcalá,"DescriptionCalle de Alcalá is among the longest streets in Madrid. It starts at the Puerta del Sol and goes on for 10.5 km, to the northeastern outskirts of the city. Henry David Inglis described it in 1837 as ""long, of superb width, and flanked by a splendid range of unequal buildings"". Wikipedia","Calle de Alcala, Madrid, España",69,51,9,0,1
Plaza de Santa Ana,"DescriptionPlaza de Santa Ana is a plaza located in central Madrid, Spain, nearby Puerta del Sol and Calle de Huertas, in the Barrio de las Letras. Wikipedia","Plaza de Santa Ana, Madrid, España",837,874,162,21,11
Catedral de Sta María la Real de la Almudena,"DescriptionAlmudena Cathedral is a Catholic church in Madrid, Spain. It is the seat of the Roman Catholic Archdiocese of Madrid. The cathedral was consecrated by Pope John Paul II in 1993. Wikipedia","Calle Bailén 10, 28013 Madrid, España",738,624,283,59,44
Paseo de la Castellana,"DescriptionPaseo de la Castellana, commonly known as La Castellana, is one of the longest and widest avenues of Madrid. It is named after an old fountain that used to exist in Plaza de Castilla. Wikipedia","28046 Madrid, España",102,103,49,3,0
Calle Mayor,"DescriptionThe Calle Mayor is a centric street in Madrid, Spain. Located in the Centro District, the Calle Mayor starts in the Puerta del Sol and ends at the cuesta de la Vega. Wikipedia","Calle Mayor, Madrid, España",38,41,10,0,1
Pantheon Goya,DescriptionThe Royal Chapel of St. Anthony of La Florida is a Neoclassical chapel in central Madrid. The chapel is best known for its ceiling and dome frescoes by Francisco Goya. It is also his former burial place. Wikipedia,"Glorieta San Antonio de La Florida 5 | San Antonio de la Florida chapel, 28008 Madrid, España",25,12,3,0,0
El Oso y el Madroño,"DescriptionThe Statue of the Bear and the Strawberry Tree is a sculpture from the second half of the 20th century, situated in the Spanish city of Madrid. Wikipedia","Plaza de La Puerta del Sol s/n, 28013 Madrid, España",95,135,102,10,0
Monasterio Del Corpus Christi,"DescriptionThe Monastery of Corpus Christi las Carboneras is a monastery located in Madrid, Spain. It was declared Bien de Interés Cultural in 1981. Wikipedia","Plaza Del Conde Miranda, Madrid, España",24,7,4,0,0
Monumento a los Caidos por España,"DescriptionThe Monumento a los Caídos por España, popularly known as the 'Obelisco' or the 'Monumento a los Héroes del Dos de Mayo', is a monument in Madrid, Spain located in Plaza de la Lealtad, between the Madrid Stock Exchange Building and the Ritz Hotel, next to the Paseo del Prado. Wikipedia","Plaza de la Lealtad, Madrid, 28014 Madrid, España",11,23,12,2,0
Estación de RENFE de Sol,"DescriptionSol is a station on Line 1, Line 2 and Line 3 of the Madrid Metro. It is located in Zone A and is the most central station on the Metro, located at the Puerta del Sol square. Because of its location, it is one of the busiest stations of the Madrid Metro. Wikipedia","Puerta del Sol, Madrid, España",19,29,11,4,4
Plaza de Castilla,"DescriptionThe Plaza de Castilla is a roundabout in the north of Madrid, Spain. Wikipedia","Plaza de Castilla, Madrid, España",7,34,20,9,1
Parroquia de Santa Teresa y San José Madrid,"DescriptionThe Parish Church of Santa Teresa y San José, also known as the National Temple of Santa Teresa de Jesús and Convent of the Discalced Carmelite Fathers, is a Catholic church located in Madrid, Spain. The complex serves as a religious community residence, a nursing home and a parish church. Wikipedia","Plaza de Espana, Madrid, España",5,12,5,0,0
​​​​​​​​​​​​​​​​​Madrid-​Puerta de Atocha Train Station,"DescriptionEstación del Arte is a station on Line 1 of the Madrid Metro and is located in Fare Zone A. It was opened to the public on 26 December, 1926. The station is located beneath Charles V plaza, less than 500 meters from the Madrid Atocha railway station which serves commuter and long-distance trains. Wikipedia","Glorieta Carlos V, s/n, 28045 Madrid, España",12,10,0,2,0
Tribunal Supremo,"DescriptionThe Supreme Court is the highest court in the Kingdom of Spain. Originally established pursuant to Title V of the Constitution of 1812 and currently regulated by Title VI of the Constitution of 1978, ... Wikipedia","Plaza De La Villa De Paris, 28071 Madrid, España",3,0,1,0,0
Capilla De Nuestra Señora Y De San Juan De Letrán,"DescriptionThe Chapel of Obispo de Madrid is a chapel, located in Madrid, Spain, which was built in 1669. It was declared Bien de Interés Cultural in 1931.
San Isidro Labrador, patron saint of Madrid, was initially buried at this site. Wikipedia","Plaza Paja 5, 28005 Madrid, España",2,1,0,0,0
Chueca,"DescriptionChueca is a area of central Madrid, named after its main square, Plaza de Chueca. It is known as Madrid's gay neighborhood. Plaza de Chueca was named after Spanish composer and author Federico Chueca.
It is located in the administrative ward in the central Madrid neighbourhood of Justicia. Wikipedia","Madrid, España",10,11,2,0,0
Palacio de Comunicaciones,"DescriptionCibeles Palace, formally known as Palacio de Comunicaciones and Palacio de Telecomunicaciones until 2011, is a complex composed of two buildings with white facades and is located in one of the historical centres of Madrid, Spain. Wikipedia","Paseo del Prado | y Calle de Alcala, Madrid, España",5,4,0,0,1
Bolsa de Madrid,"DescriptionBolsa de Madrid is the largest and most international of Spain's four regional stock exchanges that trade shares and convertible bonds and fixed income securities, and both government and private-sector debt. Bolsa de Madrid is owned by Bolsas y Mercados Españoles. Wikipedia","Plaza Lealtad 1, 28014 Madrid, España",7,11,4,1,2
Plaza Tirso de Molina,"DescriptionThe plaza de Tirso de Molina is a public square in the city of Madrid, Spain. Wikipedia","Plaza Tirso de Molina, Madrid, España",12,16,32,5,4
Plaza de Santo Domingo,"DescriptionThe plaza de Santo Domingo is a public square in the city of Madrid, Spain. Wikipedia","Calle Mayor, Madrid, España",6,7,9,2,0
Parroquia de San Marcos,"DescriptionThe Church of San Marcos is a parish church located in Madrid, Spain. It was designed by Ventura Rodríguez, and it one of a number of surviving buildings by this architect in the city. Wikipedia","Calle San Leonardo 10, 28015 Madrid, España",4,4,3,0,0
La Mariblanca,DescriptionThe statues known as Mariblanca are female figures of uncertain origin which may relate to the fertility goddesses Venus or Fortuna. Wikipedia,"Puerta del sol, Madrid, España",3,6,11,0,0
Glorieta del Emperador Carlos V,"DescriptionPlaza del Emperador Carlos V is a square in the city of Madrid. It is named after Charles V, Holy Roman Emperor, who also reigned in Spain as Charles I. However, it is referred to as Plaza de Atocha, because it is where Madrid Atocha railway station is located. Wikipedia","Glorieta del Emperador Carlos V, Madrid, España",6,5,23,3,1
Iglesia del Convento de las Descalzas Reales,"DescriptionThe Convent of Las Descalzas Reales is a royal monastery situated in Madrid, Spain, administered by the Patrimonio Nacional. Wikipedia","Plaza Descalzas s/n, 28013 Madrid, España",4,1,2,0,0
Edificio del Banco de Bilbao,"DescriptionThe Banco Bilbao Vizcaya is a building located at Calle de Alcalá, 16, in Madrid, Spain. Projected in 1919 by architect Ricardo Bastida and built from 1920 to 1923 for Banco de Bilbao, a constituent financial institution of BBVA.
It was declared Bien de Interés Cultural in 1999. Wikipedia","Calle de Alcala 16, 28014 Madrid, España",1,3,4,0,0
Cementerio de Nuestra Señora de la Almudena,"DescriptionThe Cementerio de Nuestra Señora de La Almudena, former Necrópolis de Este is a cemetery in Madrid, Spain. It is the largest in Madrid and one of the largest in Western Europe. Wikipedia","Avenida Daroca 90, 28017 Madrid, España",5,10,3,1,3
